,datestop,timestop,arstmade,frisked,searched,forceuse,sex,race,age,longitude,latitude,detailCM,Zip
0,2015-11-05 00:00:00,1900-01-01 17:47:00,N,Y,N,SF,M,B,14.0,-73.96256044991257,40.79163466930161,20.0,10025.0
1,2015-12-09 00:00:00,1900-01-01 17:45:00,N,N,N,SF,M,B,14.0,-73.9737840088486,40.78429835461403,78.0,10024.0
2,2015-12-09 00:00:00,1900-01-01 17:45:00,N,N,N,,M,B,14.0,-73.9737840088486,40.78429835461403,78.0,10024.0
3,2015-12-09 00:00:00,1900-01-01 17:45:00,N,N,N,SF,M,B,13.0,-73.9737840088486,40.78429835461403,78.0,10024.0
4,2015-12-09 00:00:00,1900-01-01 17:45:00,N,N,N,SF,M,W,13.0,-73.9737840088486,40.78429835461403,78.0,10024.0
5,2015-02-06 00:00:00,1900-01-01 21:55:00,N,Y,N,,M,B,25.0,-73.92321523555376,40.65910651165323,20.0,11212.0
6,2015-02-07 00:00:00,1900-01-01 21:15:00,N,Y,N,,M,B,15.0,-73.97630003478208,40.71568295378583,85.0,10002.0
7,2015-02-12 00:00:00,1900-01-01 14:05:00,N,Y,N,OR,M,B,23.0,-73.98820001110087,40.71855580770046,45.0,10002.0
8,2015-02-14 00:00:00,1900-01-01 02:00:00,N,N,N,,M,W,16.0,-74.03671623240385,40.61949979976222,14.0,11209.0
9,2015-02-18 00:00:00,1900-01-01 21:25:00,N,Y,N,,M,B,30.0,-73.94823407225736,40.63821896350877,85.0,11210.0
10,2015-10-01 00:00:00,1900-01-01 01:15:00,Y,Y,Y,OT,M,B,26.0,-73.93742023722204,40.804375769710255,9.0,11208.0
11,2015-10-01 00:00:00,1900-01-01 01:30:00,N,N,N,,M,B,14.0,-73.93540919329384,40.796003241271926,9.0,10018.0
12,2015-10-01 00:00:00,1900-01-01 01:40:00,N,Y,N,,M,B,26.0,-73.99453544439251,40.75352443667219,9.0,10303.0
13,2015-10-01 00:00:00,1900-01-01 02:25:00,N,Y,N,SW,M,Q,23.0,-73.90883959583158,40.76601002264444,20.0,10035.0
14,2015-10-01 00:00:00,1900-01-01 02:29:00,Y,Y,Y,DS,M,P,19.0,-73.9358433288311,40.84395646468933,20.0,10029.0
15,2015-10-01 00:00:00,1900-01-01 02:30:00,N,Y,N,SW,F,B,99.0,-73.94133047477538,40.81857078612426,20.0,10013.0
16,2015-10-01 00:00:00,1900-01-01 02:40:00,N,Y,N,OT,Z,Z,24.0,-73.94309906174657,40.69382300041532,85.0,11103.0
17,2015-10-01 00:00:00,1900-01-01 03:00:00,N,Y,N,,M,Q,23.0,-73.99266347549697,40.64355252086991,85.0,10033.0
18,2015-10-01 00:00:00,1900-01-01 03:00:00,N,Y,N,,M,Q,22.0,-73.99266347549697,40.64355252086991,85.0,10030.0
19,2015-10-01 00:00:00,1900-01-01 03:00:00,N,Y,N,,M,Q,24.0,-73.99266347549697,40.64355252086991,85.0,11206.0
20,2015-10-01 00:00:00,1900-01-01 03:15:00,N,Y,N,,F,Q,32.0,-73.90451320724392,40.76459023072677,46.0,11219.0
21,2015-10-01 00:00:00,1900-01-01 03:15:00,N,Y,N,,M,W,35.0,-73.90451320724392,40.76459023072677,46.0,11219.0
22,2015-10-01 00:00:00,1900-01-01 03:15:00,N,Y,N,,M,W,33.0,-73.9469934397963,40.61700117067366,14.0,11219.0
23,2015-10-01 00:00:00,1900-01-01 04:30:00,N,N,N,,M,A,39.0,-73.82750046578404,40.68575892063971,9.0,11103.0
24,2015-10-01 00:00:00,1900-01-01 04:50:00,N,Y,N,SW,M,B,20.0,-73.91020880232078,40.813462037381306,20.0,11103.0
25,2015-10-01 00:00:00,1900-01-01 05:30:00,N,N,N,,M,B,30.0,-73.98747426235283,40.76040496083829,9.0,11210.0
26,2015-10-01 00:00:00,1900-01-01 13:50:00,N,N,N,DS,M,B,35.0,-73.98234748539552,40.77768791756736,20.0,11419.0
27,2015-10-01 00:00:00,1900-01-01 14:00:00,N,Y,N,OT,M,B,20.0,-73.95090554764975,40.63608743542911,20.0,10455.0
28,2015-10-01 00:00:00,1900-01-01 14:10:00,N,N,N,,M,P,44.0,-73.89048785995175,40.82428389437225,46.0,10036.0
29,2015-10-01 00:00:00,1900-01-01 14:10:00,N,N,N,,Z,Z,32.0,-73.89048785995175,40.82428389437225,46.0,10023.0
30,2015-10-01 00:00:00,1900-01-01 15:55:00,N,N,N,,F,Q,42.0,-73.88897910058247,40.6674254413417,20.0,11210.0
31,2015-10-01 00:00:00,1900-01-01 15:55:00,N,Y,N,,M,Q,20.0,-73.88897910058247,40.6674254413417,20.0,10459.0
32,2015-10-01 00:00:00,1900-01-01 15:55:00,N,Y,N,,M,Q,48.0,-73.88897910058247,40.6674254413417,20.0,10459.0
33,2015-10-01 00:00:00,1900-01-01 18:15:00,N,Y,N,DS,M,P,23.0,-73.93383259342554,40.8451712342168,60.0,11207.0
34,2015-10-01 00:00:00,1900-01-01 18:15:00,N,N,N,,Z,Z,20.0,-73.9080205106053,40.68469315883137,14.0,11207.0
35,2015-10-01 00:00:00,1900-01-01 18:27:00,N,N,N,,M,Q,15.0,-73.9775339027806,40.72587723579635,68.0,11207.0
36,2015-10-01 00:00:00,1900-01-01 18:27:00,N,N,N,,M,Q,12.0,-73.9775339027806,40.72587723579635,68.0,10033.0
37,2015-10-01 00:00:00,1900-01-01 18:50:00,Y,Y,Y,SW,M,B,53.0,-73.9383193083322,40.80474679222721,20.0,11207.0
38,2015-10-01 00:00:00,1900-01-01 19:30:00,N,Y,N,,M,Q,28.0,-73.99509559526388,40.645946102408274,14.0,10009.0
39,2015-10-01 00:00:00,1900-01-01 19:45:00,N,Y,N,SF,M,B,14.0,-73.94478056493816,40.805760127123385,20.0,10009.0
40,2015-10-01 00:00:00,1900-01-01 20:00:00,N,Y,N,,M,Q,48.0,-73.88865605702503,40.81775519645495,20.0,10035.0
41,2015-10-01 00:00:00,1900-01-01 20:30:00,N,Y,N,,M,Q,16.0,-73.89288355294217,40.821947644300884,20.0,11232.0
42,2015-10-01 00:00:00,1900-01-01 20:34:00,Y,Y,N,OT,M,B,17.0,-73.93856875187873,40.698849086878354,20.0,10027.0
43,2015-10-01 00:00:00,1900-01-01 21:25:00,N,Y,N,,M,B,16.0,-73.978822973645,40.72251789674509,20.0,10474.0
44,2015-10-01 00:00:00,1900-01-01 21:55:00,N,Y,N,SF,M,B,16.0,-73.79325462008875,40.68543624488793,85.0,10459.0
45,2015-10-01 00:00:00,1900-01-01 22:10:00,N,Y,N,,M,B,20.0,-73.9645738657388,40.794931726562645,68.0,11206.0
46,2015-10-01 00:00:00,1900-01-01 22:10:00,N,Y,N,,M,Q,21.0,-73.91847496188844,40.86611720674615,20.0,10009.0
47,2015-10-01 00:00:00,1900-01-01 22:15:00,N,Y,N,DS,M,Q,28.0,-73.89687933622004,40.822118714779066,60.0,11434.0
48,2015-10-01 00:00:00,1900-01-01 22:15:00,N,Y,N,DS,M,Q,21.0,-73.89687933622004,40.822118714779066,60.0,10025.0
49,2015-10-01 00:00:00,1900-01-01 22:35:00,N,N,N,,M,B,31.0,-73.96531375208893,40.79587339369175,96.0,10034.0
50,2015-10-01 00:00:00,1900-01-01 22:50:00,Y,Y,N,OT,F,B,27.0,-73.94793236724446,40.81708357361465,20.0,10459.0
51,2015-10-01 00:00:00,1900-01-01 23:10:00,N,Y,N,SF,M,B,19.0,-73.95092167346017,40.697444206804285,20.0,10459.0
52,2015-10-01 00:00:00,1900-01-01 23:15:00,N,Y,N,DS,M,B,22.0,-73.94978863790116,40.69831106461117,20.0,10025.0
53,2015-10-01 00:00:00,1900-01-01 23:25:00,N,Y,N,,M,Q,20.0,-73.86843542695888,40.86323023740098,85.0,10030.0
54,2015-10-01 00:00:00,1900-01-01 23:25:00,N,Y,N,,M,Q,20.0,-73.85867289903985,40.8654940496378,20.0,11206.0
55,2015-10-02 00:00:00,1900-01-01 01:35:00,N,Y,N,,M,I,24.0,-73.96138907747833,40.60079065724831,14.0,11206.0
56,2015-10-02 00:00:00,1900-01-01 01:50:00,N,Y,Y,SF,M,B,16.0,-73.9407059531244,40.6963552138232,9.0,10467.0
57,2015-10-02 00:00:00,1900-01-01 01:50:00,N,Y,N,,M,Q,33.0,-73.94937194591171,40.77687668460268,45.0,10469.0
58,2015-10-02 00:00:00,1900-01-01 02:15:00,N,Y,N,DS,M,P,30.0,-73.9406642603565,40.79993102794667,85.0,11218.0
59,2015-10-02 00:00:00,1900-01-01 03:31:00,N,Y,N,OR,M,W,17.0,-73.96678148542016,40.61210913555422,46.0,11233.0
60,2015-10-02 00:00:00,1900-01-01 03:31:00,N,Y,N,OR,M,W,19.0,-73.96678148542016,40.61210913555422,46.0,11208.0
61,2015-10-02 00:00:00,1900-01-01 10:23:00,N,N,N,,M,Q,45.0,-73.97723937693053,40.72201804856058,87.0,11223.0
62,2015-10-02 00:00:00,1900-01-01 10:30:00,Y,Y,Y,,M,P,57.0,-74.0070156402882,40.676097394662726,60.0,11206.0
63,2015-10-02 00:00:00,1900-01-01 12:00:00,Y,Y,Y,,M,B,18.0,-73.86178947834661,40.89155045607026,85.0,10028.0
64,2015-10-02 00:00:00,1900-01-01 12:32:00,N,Y,N,SF,F,B,16.0,-73.77170195974291,40.71537394138627,9.0,10035.0
65,2015-10-02 00:00:00,1900-01-01 13:50:00,N,Y,N,,M,B,20.0,-73.92443828253907,40.69304098102311,85.0,11230.0
66,2015-10-02 00:00:00,1900-01-01 13:55:00,N,N,N,,M,W,19.0,-73.81259210482658,40.730247536684196,85.0,11230.0
67,2015-10-02 00:00:00,1900-01-01 14:40:00,N,Y,Y,,F,B,21.0,-73.95642731255066,40.644104436305646,9.0,10009.0
68,2015-10-02 00:00:00,1900-01-01 14:50:00,N,Y,Y,DS,M,Q,32.0,-73.9991748400343,40.642026651410845,20.0,11231.0
69,2015-10-02 00:00:00,1900-01-01 16:01:00,N,Y,N,SW,M,B,15.0,-73.91699902805357,40.84939817695615,20.0,10466.0
70,2015-10-02 00:00:00,1900-01-01 16:01:00,Y,Y,Y,SW,M,P,20.0,-73.91699902805357,40.84939817695615,20.0,11423.0
71,2015-10-02 00:00:00,1900-01-01 16:01:00,N,Y,N,SW,Z,B,18.0,-73.91699902805357,40.84939817695615,20.0,11221.0
72,2015-10-02 00:00:00,1900-01-01 16:08:00,Y,Y,Y,,M,Q,35.0,-73.99694499102225,40.6288077180287,68.0,11367.0
73,2015-10-02 00:00:00,1900-01-01 17:00:00,N,N,N,,F,B,37.0,-73.8903073299626,40.826397155483725,45.0,11226.0
74,2015-10-02 00:00:00,1900-01-01 17:00:00,N,N,N,,M,B,30.0,-73.8903073299626,40.826397155483725,45.0,11220.0
75,2015-10-02 00:00:00,1900-01-01 17:00:00,N,N,N,,M,B,21.0,-73.8903073299626,40.826397155483725,45.0,10453.0
76,2015-10-02 00:00:00,1900-01-01 18:05:00,N,Y,Y,DS,M,B,20.0,-73.9877794299506,40.74977184882636,9.0,10453.0
77,2015-10-02 00:00:00,1900-01-01 18:59:00,N,Y,N,,M,B,24.0,-73.93828379349273,40.79630124702657,20.0,10453.0
78,2015-10-02 00:00:00,1900-01-01 18:59:00,N,Y,N,,M,B,21.0,-73.93828379349273,40.79630124702657,20.0,11219.0
79,2015-10-02 00:00:00,1900-01-01 19:00:00,N,Y,N,DS,M,Q,29.0,-73.94010362185068,40.836946023359886,20.0,10459.0
80,2015-10-02 00:00:00,1900-01-01 20:00:00,N,Y,N,,M,B,20.0,-73.86358362453282,40.66762320216652,85.0,10459.0
81,2015-10-02 00:00:00,1900-01-01 20:00:00,Y,Y,N,,M,B,15.0,-73.86358362453282,40.66762320216652,85.0,10459.0
82,2015-10-02 00:00:00,1900-01-01 20:00:00,Y,Y,N,,M,B,18.0,-73.86358362453282,40.66762320216652,85.0,10001.0
83,2015-10-02 00:00:00,1900-01-01 20:00:00,N,Y,N,,M,B,15.0,-73.86358362453282,40.66762320216652,85.0,10029.0
84,2015-10-02 00:00:00,1900-01-01 20:00:00,N,Y,N,,M,P,29.0,-73.86358362453282,40.66762320216652,85.0,10029.0
85,2015-10-02 00:00:00,1900-01-01 20:00:00,Y,Y,N,,M,Q,14.0,-73.86358362453282,40.66762320216652,85.0,10032.0
86,2015-10-02 00:00:00,1900-01-01 20:05:00,N,N,N,,F,B,16.0,-74.06821986263996,40.594472092520114,68.0,11208.0
87,2015-10-02 00:00:00,1900-01-01 20:10:00,N,Y,N,DS,F,Q,21.0,-73.9406642603565,40.79993102794667,20.0,11208.0
88,2015-10-02 00:00:00,1900-01-01 20:10:00,N,Y,Y,DS,M,Q,23.0,-73.9406642603565,40.79993102794667,20.0,11208.0
89,2015-10-02 00:00:00,1900-01-01 20:21:00,N,N,N,,M,Q,14.0,-74.13156472979131,40.64035667204908,85.0,11208.0
90,2015-10-02 00:00:00,1900-01-01 20:21:00,N,N,N,,M,Q,17.0,-74.13156472979131,40.64035667204908,85.0,11208.0
91,2015-10-02 00:00:00,1900-01-01 20:21:00,N,N,N,,M,Q,23.0,-74.13156472979131,40.64035667204908,85.0,11208.0
92,2015-10-02 00:00:00,1900-01-01 20:21:00,N,N,N,,M,Q,25.0,-74.13156472979131,40.64035667204908,85.0,10305.0
93,2015-10-02 00:00:00,1900-01-01 20:30:00,N,Y,N,DS,M,B,17.0,-73.92003492095259,40.84366113918639,20.0,10035.0
94,2015-10-02 00:00:00,1900-01-01 21:00:00,N,Y,N,,M,B,25.0,-73.97669948080888,40.71844151941976,20.0,10035.0
95,2015-10-02 00:00:00,1900-01-01 21:00:00,Y,Y,Y,,M,B,22.0,-73.97669948080888,40.71844151941976,20.0,10302.0
96,2015-10-02 00:00:00,1900-01-01 21:00:00,N,Y,N,SF,M,Q,17.0,-73.91276878266841,40.83103294511744,20.0,10302.0
