40.53641002202607,-74.1642640198284,Address,"Street number",Street,City,State,Country,Zip,"Address components"
40.57508066330278,-73.98990282163668,"2940-2946 W 23rd St, Brooklyn, NY 11224, USA",2940-2946,"West 23rd Street",,"New York","United States",11224,"2940-2946, West 23rd Street, Coney Island, Brooklyn, Kings County, New York, United States, 11224, 2202"
40.57508066330278,-73.98990282163668,"2940-2946 W 23rd St, Brooklyn, NY 11224, USA",2940-2946,"West 23rd Street",,"New York","United States",11224,"2940-2946, West 23rd Street, Coney Island, Brooklyn, Kings County, New York, United States, 11224, 2202"
40.73981721878473,-73.76143107078653,"212-17-212-19 73rd Ave, Oakland Gardens, NY 11364, USA",212-17-212-19,"73rd Avenue",,"New York","United States",11364,"212-17-212-19, 73rd Avenue, Oakland Gardens, Queens, Queens County, New York, United States, 11364"
40.73981721878473,-73.76143107078653,"212-17-212-19 73rd Ave, Oakland Gardens, NY 11364, USA",212-17-212-19,"73rd Avenue",,"New York","United States",11364,"212-17-212-19, 73rd Avenue, Oakland Gardens, Queens, Queens County, New York, United States, 11364"
40.57866337979219,-73.9763198564112,"2906-2922 Police Officer Harry Ryman Place, Brooklyn, NY 11224, USA",2906-2922,"Police Officer Harry Ryman Place",,"New York","United States",11224,"2906-2922, Police Officer Harry Ryman Place, Coney Island, Brooklyn, Kings County, New York, United States, 11224"
40.74865816981161,-73.87430992249031,"92-5-92-7 Roosevelt Ave, Jackson Heights, NY 11372, USA",92-5-92-7,"Roosevelt Avenue",,"New York","United States",11372,"92-5-92-7, Roosevelt Avenue, Jackson Heights, Queens, Queens County, New York, United States, 11372"
40.87086264581626,-73.89161879975958,"2832-2850 Creston Ave, Bronx, NY 10468, USA",2832-2850,"Creston Avenue",,"New York","United States",10468,"2832-2850, Creston Avenue, West Bronx, Bronx, Bronx County, New York, United States, 10468"
40.87086264581626,-73.89161879975958,"2832-2850 Creston Ave, Bronx, NY 10468, USA",2832-2850,"Creston Avenue",,"New York","United States",10468,"2832-2850, Creston Avenue, West Bronx, Bronx, Bronx County, New York, United States, 10468"
40.74166005126576,-73.98014489354158,"208 E 28th St, New York, NY 10016, USA",208,"East 28th Street","New York","New York","United States",10016,"208, East 28th Street, Midtown, Manhattan, New York, New York County, New York, United States, 10016"
40.74166005126576,-73.98014489354158,"208 E 28th St, New York, NY 10016, USA",208,"East 28th Street","New York","New York","United States",10016,"208, East 28th Street, Midtown, Manhattan, New York, New York County, New York, United States, 10016"
40.8342565355683,-73.90403378099644,"3663 Third Ave, Bronx, NY 10456, USA",3663,"Third Avenue",,"New York","United States",10456,"3663, Third Avenue, West Bronx, Bronx, Bronx County, New York, United States, 10456"
40.83480623167973,-73.90494365599744,"1379-1385 Washington Ave, Bronx, NY 10456, USA",1379-1385,"Washington Avenue",,"New York","United States",10456,"1379-1385, Washington Avenue, West Bronx, Bronx, Bronx County, New York, United States, 10456"
40.78863601016924,-73.9397895694337,"411-417 E 105th St, New York, NY 10029, USA",411-417,"East 105th Street","New York","New York","United States",10029,"411-417, East 105th Street, Upper Manhattan, Manhattan, New York, New York County, New York, United States, 10029"
40.85887059082775,-73.89112500233163,"478 E 188th St, Bronx, NY 10458, USA",478,"East 188th Street",,"New York","United States",10458,"478, East 188th Street, West Bronx, Bronx, Bronx County, New York, United States, 10458"
40.65451208928747,-73.83291878378371,"162-16-162-18 99th St, Howard Beach, NY 11414, USA",162-16-162-18,"99th Street",,"New York","United States",11414,"162-16-162-18, 99th Street, Howard Beach, Queens, Queens County, New York, United States, 11414, 4024"
40.65451208928747,-73.83291878378371,"162-16-162-18 99th St, Howard Beach, NY 11414, USA",162-16-162-18,"99th Street",,"New York","United States",11414,"162-16-162-18, 99th Street, Howard Beach, Queens, Queens County, New York, United States, 11414, 4024"
40.65451208928747,-73.83291878378371,"162-16-162-18 99th St, Howard Beach, NY 11414, USA",162-16-162-18,"99th Street",,"New York","United States",11414,"162-16-162-18, 99th Street, Howard Beach, Queens, Queens County, New York, United States, 11414, 4024"
40.716976812940224,-73.98228781011082,"87 Delancey St, New York, NY 10002, USA",87,"Delancey Street","New York","New York","United States",10002,"87, Delancey Street, Lower Manhattan, Manhattan, New York, New York County, New York, United States, 10002"
40.665686504084405,-73.82042967783265,"121-1 NY-27, South Ozone Park, NY 11420, USA",121-1,"North Conduit Avenue",,"New York","United States",11420,"121-1, North Conduit Avenue, South Ozone Park, Queens, Queens County, New York, United States, 11420"
40.65451208928747,-73.83291878378371,"162-16-162-18 99th St, Howard Beach, NY 11414, USA",162-16-162-18,"99th Street",,"New York","United States",11414,"162-16-162-18, 99th Street, Howard Beach, Queens, Queens County, New York, United States, 11414, 4024"
40.65451208928747,-73.83291878378371,"162-16-162-18 99th St, Howard Beach, NY 11414, USA",162-16-162-18,"99th Street",,"New York","United States",11414,"162-16-162-18, 99th Street, Howard Beach, Queens, Queens County, New York, United States, 11414, 4024"
40.64502905554918,-73.91997749142436,"Clarendon Rd, Brooklyn, NY 11236, USA",,"Clarendon Road",,"New York","United States",11236,"Clarendon Road, East Flatbush, Brooklyn, Kings County, New York, United States, 11236"
40.64502905554918,-73.91997749142436,"Clarendon Rd, Brooklyn, NY 11236, USA",,"Clarendon Road",,"New York","United States",11236,"Clarendon Road, East Flatbush, Brooklyn, Kings County, New York, United States, 11236"
40.65514463603378,-73.91757949073228,"492-498 E 94th St, Brooklyn, NY 11212, USA",492-498,"East 94th Street",,"New York","United States",11212,"492-498, East 94th Street, East Flatbush, Brooklyn, Kings County, New York, United States, 11212"
40.67230027932584,-73.84210292069046,"136-98 94th St, Ozone Park, NY 11417, USA",136-98,"94th Street",,"New York","United States",11417,"136-98, 94th Street, Ozone Park, Queens, Queens County, New York, United States, 11417, 2810"
40.82050486349213,-73.88809505653042,"1172 Garrison Ave, Bronx, NY 10474, USA",1172,"Garrison Avenue",,"New York","United States",10474,"1172, Garrison Avenue, West Bronx, Bronx, Bronx County, New York, United States, 10474"
40.65514463603378,-73.91757949073228,"492-498 E 94th St, Brooklyn, NY 11212, USA",492-498,"East 94th Street",,"New York","United States",11212,"492-498, East 94th Street, East Flatbush, Brooklyn, Kings County, New York, United States, 11212"
40.76354168294979,-73.77166681129103,"213-3-213-9 41st Ave, Bayside, NY 11361, USA",213-3-213-9,"41st Avenue",,"New York","United States",11361,"213-3-213-9, 41st Avenue, Bayside, Queens, Queens County, New York, United States, 11361"
40.76354168294979,-73.77166681129103,"213-3-213-9 41st Ave, Bayside, NY 11361, USA",213-3-213-9,"41st Avenue",,"New York","United States",11361,"213-3-213-9, 41st Avenue, Bayside, Queens, Queens County, New York, United States, 11361"
40.76354168294979,-73.77166681129103,"213-3-213-9 41st Ave, Bayside, NY 11361, USA",213-3-213-9,"41st Avenue",,"New York","United States",11361,"213-3-213-9, 41st Avenue, Bayside, Queens, Queens County, New York, United States, 11361"
40.8810437684623,-73.8271529090922,"3311-3315 De Lavall Ave, Bronx, NY 10475, USA",3311-3315,"De Lavall Avenue",,"New York","United States",10475,"3311-3315, De Lavall Avenue, East Bronx, Bronx, Bronx County, New York, United States, 10475, 1301"
40.882544828380844,-73.82696095576036,"2274 Tillotson Ave, Bronx, NY 10475, USA",2274,"Tillotson Avenue",,"New York","United States",10475,"2274, Tillotson Avenue, East Bronx, Bronx, Bronx County, New York, United States, 10475"
40.702595231567294,-73.85529262689504,"61-1 Myrtle Ave, Ridgewood, NY 11385, USA",61-1,"Myrtle Avenue",,"New York","United States",11385,"61-1, Myrtle Avenue, Ridgewood, Queens, Queens County, New York, United States, 11385"
40.664024409013805,-73.83790162612962,"95-27 156th Ave, Howard Beach, NY 11414, USA",95-27,"156th Avenue",,"New York","United States",11414,"95-27, 156th Avenue, Howard Beach, Queens, Queens County, New York, United States, 11414"
40.664024409013805,-73.83790162612962,"95-27 156th Ave, Howard Beach, NY 11414, USA",95-27,"156th Avenue",,"New York","United States",11414,"95-27, 156th Avenue, Howard Beach, Queens, Queens County, New York, United States, 11414"
40.67859101625374,-73.89462443430092,"31 Wyona St, Brooklyn, NY 11207, USA",31,"Wyona Street",,"New York","United States",11207,"31, Wyona Street, Cypress Hills, Brooklyn, Kings County, New York, United States, 11207, 2515"
40.82382360454341,-73.94021660219755,"234 W 147th St, New York, NY 10039, USA",234,"West 147th Street","New York","New York","United States",10039,"234, West 147th Street, Upper Manhattan, Manhattan, New York, New York County, New York, United States, 10039"
40.81337036891753,-73.94883119606541,"2424 Frederick Douglass Blvd, New York, NY 10027, USA",2424,"Frederick Douglass Boulevard","New York","New York","United States",10027,"2424, Frederick Douglass Boulevard, Upper Manhattan, Manhattan, New York, New York County, New York, United States, 10027"
40.81337036891753,-73.94883119606541,"2424 Frederick Douglass Blvd, New York, NY 10027, USA",2424,"Frederick Douglass Boulevard","New York","New York","United States",10027,"2424, Frederick Douglass Boulevard, Upper Manhattan, Manhattan, New York, New York County, New York, United States, 10027"
40.806766282664675,-73.93715790853098,"106 E 128th St, New York, NY 10035, USA",106,"East 128th Street","New York","New York","United States",10035,"106, East 128th Street, Upper Manhattan, Manhattan, New York, New York County, New York, United States, 10035"
40.806766282664675,-73.93715790853098,"106 E 128th St, New York, NY 10035, USA",106,"East 128th Street","New York","New York","United States",10035,"106, East 128th Street, Upper Manhattan, Manhattan, New York, New York County, New York, United States, 10035"
40.66796277188801,-73.92565264590124,"305-327 Buffalo Ave, Brooklyn, NY 11213, USA",305-327,"Buffalo Avenue",,"New York","United States",11213,"305-327, Buffalo Avenue, Crown Heights, Brooklyn, Kings County, New York, United States, 11213"
40.78017273976576,-73.9550925495991,"120 E 87th St, New York, NY 10128, USA",120,"East 87th Street","New York","New York","United States",10128,"120, East 87th Street, Upper East Side, Manhattan, New York, New York County, New York, United States, 10128"
40.65116857462548,-73.94189212502394,"3801 Bob Marley Blvd, Brooklyn, NY 11203, USA",3801,"Bob Marley Boulevard",,"New York","United States",11203,"3801, Bob Marley Boulevard, East Flatbush, Brooklyn, Kings County, New York, United States, 11203, 2906"
40.721210593951604,-74.0003607599787,"471 Broadway, New York, NY 10013, USA",471,Broadway,"New York","New York","United States",10013,"471, Broadway, Lower Manhattan, Manhattan, New York, New York County, New York, United States, 10013, 2664"
40.71973665437394,-74.0010281432011,"36-38 Howard St, New York, NY 10013, USA",36-38,"Howard Street","New York","New York","United States",10013,"36-38, Howard Street, Lower Manhattan, Manhattan, New York, New York County, New York, United States, 10013"
40.71973665437394,-74.0010281432011,"36-38 Howard St, New York, NY 10013, USA",36-38,"Howard Street","New York","New York","United States",10013,"36-38, Howard Street, Lower Manhattan, Manhattan, New York, New York County, New York, United States, 10013"
40.71973665437394,-74.0010281432011,"36-38 Howard St, New York, NY 10013, USA",36-38,"Howard Street","New York","New York","United States",10013,"36-38, Howard Street, Lower Manhattan, Manhattan, New York, New York County, New York, United States, 10013"
40.61116967224346,-74.08708798568505,"78 Rhine Ave, Staten Island, NY 10304, USA",78,"Rhine Avenue",,"New York","United States",10304,"78, Rhine Avenue, Park Hill, Staten Island, Richmond County, New York, United States, 10304, 3406"
40.66903923351602,-73.86568231643471,"2661 Linden Blvd, Brooklyn, NY 11208, USA",2661,"Linden Boulevard",,"New York","United States",11208,"2661, Linden Boulevard, East New York, Brooklyn, Kings County, New York, United States, 11208"
40.71459315656465,-73.93875624682865,"907 Metropolitan Ave, Brooklyn, NY 11211, USA",907,"Metropolitan Avenue",,"New York","United States",11211,"907, Metropolitan Avenue, East Williamsburg, Brooklyn, Kings County, New York, United States, 11211"
40.679906929379975,-74.00989312264896,"259 Van Brunt St, Brooklyn, NY 11231, USA",259,"Van Brunt Street",,"New York","United States",11231,"259, Van Brunt Street, Red Hook, Brooklyn, Kings County, New York, United States, 11231, 1278"
40.84772175040163,-73.90363483612138,"1853-1857 Anthony Ave, Bronx, NY 10457, USA",1853-1857,"Anthony Avenue",,"New York","United States",10457,"1853-1857, Anthony Avenue, West Bronx, Bronx, Bronx County, New York, United States, 10457"
40.84772175040163,-73.90363483612138,"1853-1857 Anthony Ave, Bronx, NY 10457, USA",1853-1857,"Anthony Avenue",,"New York","United States",10457,"1853-1857, Anthony Avenue, West Bronx, Bronx, Bronx County, New York, United States, 10457"
40.690983831432455,-73.77870533892059,"114-28-114-32 Merrick Blvd, Jamaica, NY 11434, USA",114-28-114-32,"Merrick Boulevard",,"New York","United States",11434,"114-28-114-32, Merrick Boulevard, Jamaica, Queens, Queens County, New York, United States, 11434"
40.860278595386305,-73.89404373540852,"360 E 188th St, Bronx, NY 10458, USA",360,"East 188th Street",,"New York","United States",10458,"360, East 188th Street, West Bronx, Bronx, Bronx County, New York, United States, 10458, 5549"
40.737157612381054,-73.87940512126264,"5153-5165 Van Loon St, Elmhurst, NY 11373, USA",5153-5165,"Van Loon Street",,"New York","United States",11373,"5153-5165, Van Loon Street, Elmhurst, Queens, Queens County, New York, United States, 11373"
40.875179058457384,-73.8670449519396,"3399 White Plains Rd, Bronx, NY 10467, USA",3399,"White Plains Road",,"New York","United States",10467,"3399, White Plains Road, East Bronx, Bronx, Bronx County, New York, United States, 10467"
40.82519205149975,-73.91628489468451,"3186-3198 Park Ave, Bronx, NY 10451, USA",3186-3198,"Park Avenue",,"New York","United States",10451,"3186-3198, Park Avenue, West Bronx, Bronx, Bronx County, New York, United States, 10451, 4068"
40.83940396854068,-73.93762219805092,"500A W 167th St, New York, NY 10032, USA",500A,"West 167th Street","New York","New York","United States",10032,"500A, West 167th Street, Upper Manhattan, Manhattan, New York, New York County, New York, United States, 10032"
40.83940396854068,-73.93762219805092,"500A W 167th St, New York, NY 10032, USA",500A,"West 167th Street","New York","New York","United States",10032,"500A, West 167th Street, Upper Manhattan, Manhattan, New York, New York County, New York, United States, 10032"
40.83940396854068,-73.93762219805092,"500A W 167th St, New York, NY 10032, USA",500A,"West 167th Street","New York","New York","United States",10032,"500A, West 167th Street, Upper Manhattan, Manhattan, New York, New York County, New York, United States, 10032"
40.84801834937729,-73.94043702717887,"12 Pinehurst Ave, New York, NY 10033, USA",12,"Pinehurst Avenue","New York","New York","United States",10033,"12, Pinehurst Avenue, Upper Manhattan, Manhattan, New York, New York County, New York, United States, 10033"
40.64644248632906,-74.01100526342886,"435-437 49th St, Brooklyn, NY 11220, USA",435-437,"49th Street",,"New York","United States",11220,"435-437, 49th Street, Sunset Park, Brooklyn, Kings County, New York, United States, 11220"
40.71940726920293,-73.742384290842,"93-20-93-22 215th St, Queens Village, NY 11428, USA",93-20-93-22,"215th Street",,"New York","United States",11428,"93-20-93-22, 215th Street, Queens Village, Queens, Queens County, New York, United States, 11428, 1708"
40.71940726920293,-73.742384290842,"93-20-93-22 215th St, Queens Village, NY 11428, USA",93-20-93-22,"215th Street",,"New York","United States",11428,"93-20-93-22, 215th Street, Queens Village, Queens, Queens County, New York, United States, 11428, 1708"
40.701588305485274,-73.74864199357388,"20598 Murdock Ave, St. Albans, NY 11412, USA",20598,"Murdock Avenue",,"New York","United States",11412,"20598, Murdock Avenue, St. Albans, Queens, Queens County, New York, United States, 11412"
40.65889981979403,-73.84178863229043,"159-0 91st St, Howard Beach, NY 11414, USA",159-0,"91st Street",,"New York","United States",11414,"159-0, 91st Street, Howard Beach, Queens, Queens County, New York, United States, 11414, 3118"
40.68999899098287,-73.9274851198743,"64-66 Patchen Ave, Brooklyn, NY 11221, USA",64-66,"Patchen Avenue",,"New York","United States",11221,"64-66, Patchen Avenue, Bedford-Stuyvesant, Brooklyn, Kings County, New York, United States, 11221"
40.68999899098287,-73.9274851198743,"64-66 Patchen Ave, Brooklyn, NY 11221, USA",64-66,"Patchen Avenue",,"New York","United States",11221,"64-66, Patchen Avenue, Bedford-Stuyvesant, Brooklyn, Kings County, New York, United States, 11221"
40.68999899098287,-73.9274851198743,"64-66 Patchen Ave, Brooklyn, NY 11221, USA",64-66,"Patchen Avenue",,"New York","United States",11221,"64-66, Patchen Avenue, Bedford-Stuyvesant, Brooklyn, Kings County, New York, United States, 11221"
40.520902680166984,-74.20470067776368,"196 Bayview Ave, Staten Island, NY 10309, USA",196,"Bayview Avenue",,"New York","United States",10309,"196, Bayview Avenue, Prince's Bay, Staten Island, Richmond County, New York, United States, 10309, 3606"
